County,population_2020
,
Atlantic,274536.0
Bergen,955743.0
Burlington,461869.0
Camden,523498.0
Cape May,95262.0
Cumberland,154160.0
Essex,862768.0
Gloucester,302273.0
Hudson,724858.0
Hunterdon,128950.0
Mercer,387328.0
Middlesex,863202.0
Monmouth,643612.0
Morris,509288.0
Ocean,637235.0
Passaic,525054.0
Salem,64830.0
Somerset,345353.0
Sussex,144220.0
Union,575363.0
Warren,109637.0
